key	name	category	description	tags
python	Python	language	Python programming language	`devicon`, `language`, `python`
javascript	JavaScript	language	JavaScript programming language	`devicon`, `language`, `javascript`, `web`
typescript	TypeScript	language	TypeScript (typed JavaScript)	`devicon`, `language`, `typescript`, `web`
go	Go	language	Go programming language	`devicon`, `language`, `go`
java	Java	language	Java programming language	`devicon`, `language`, `java`, `jvm`
rust	Rust	language	Rust systems programming language	`devicon`, `language`, `rust`, `systems`
c	C	language	C programming language	`devicon`, `language`, `c`, `systems`
cplusplus	C++	language	C++ programming language	`devicon`, `language`, `cpp`, `systems`
csharp	C#	language	C# / .NET programming language	`devicon`, `language`, `csharp`, `dotnet`
ruby	Ruby	language	Ruby programming language	`devicon`, `language`, `ruby`
php	PHP	language	PHP programming language	`devicon`, `language`, `php`, `web`
kotlin	Kotlin	language	Kotlin language (JVM/Android)	`devicon`, `language`, `kotlin`, `jvm`
swift	Swift	language	Swift language (Apple platforms)	`devicon`, `language`, `swift`, `apple`
scala	Scala	language	Scala language (JVM)	`devicon`, `language`, `scala`, `jvm`
r	R	language	R statistical language	`devicon`, `language`, `r`, `data`
haskell	Haskell	language	Haskell functional language	`devicon`, `language`, `haskell`, `functional`
lua	Lua	language	Lua embedded scripting language	`devicon`, `language`, `lua`
clojure	Clojure	language	Clojure (Lisp on the JVM)	`devicon`, `language`, `clojure`, `jvm`
elixir	Elixir	language	Elixir language (BEAM VM)	`devicon`, `language`, `elixir`, `beam`
erlang	Erlang	language	Erlang language (BEAM VM)	`devicon`, `language`, `erlang`, `beam`
dart	Dart	language	Dart language (Flutter)	`devicon`, `language`, `dart`
ocaml	OCaml	language	OCaml functional language	`devicon`, `language`, `ocaml`, `functional`
fsharp	F#	language	F# functional .NET language	`devicon`, `language`, `fsharp`, `dotnet`
julia	Julia	language	Julia scientific language	`devicon`, `language`, `julia`, `data`
bash	Bash	language	Bash shell scripting	`devicon`, `language`, `shell`, `bash`
react	React	web-framework	React frontend library	`devicon`, `web`, `frontend`, `react`
vuejs	Vue.js	web-framework	Vue.js progressive framework	`devicon`, `web`, `frontend`, `vue`
angular	Angular	web-framework	Angular SPA framework	`devicon`, `web`, `frontend`, `angular`
nextjs	Next.js	web-framework	Next.js React meta-framework	`devicon`, `web`, `frontend`, `nextjs`
